iteration,row,column,value
0,0,2,0
1,0,3,0
2,0,3,1
3,0,5,0
4,0,5,1
5,0,5,2
6,0,5,3
7,0,6,0
8,0,6,1
9,0,6,2
10,0,6,3
11,0,6,4
12,0,6,5
13,0,6,6
14,0,6,7
15,0,7,0
16,0,7,1
17,0,7,2
18,0,7,3
19,0,7,4
20,0,7,5
21,0,7,6
22,0,7,7
23,0,7,8
24,0,8,0
25,0,8,1
26,0,8,2
27,0,8,3
28,0,8,4
29,0,8,5
30,0,8,6
31,0,8,7
32,0,8,8
33,0,8,9
34,0,7,9
35,0,6,8
36,0,7,0
37,0,7,1
38,0,7,2
39,0,7,3
40,0,7,4
41,0,7,5
42,0,7,6
43,0,7,7
44,0,7,8
45,0,7,9
46,0,6,9
47,0,5,4
48,0,5,5
49,0,6,0
50,0,6,1
51,0,6,2
52,0,6,3
53,0,7,0
54,0,7,1
55,0,7,2
56,0,7,3
57,0,7,4
58,0,7,5
59,0,7,6
60,0,7,7
61,0,7,8
62,0,8,0
63,0,8,1
64,0,8,2
65,0,8,3
66,0,8,4
67,0,8,5
68,0,8,6
69,0,8,7
70,1,1,0
71,1,1,1
72,1,2,0
73,1,2,1
74,1,2,2
75,1,2,3
76,1,6,0
77,1,6,1
78,1,6,2
79,1,7,0
80,1,7,1
81,1,7,2
82,1,7,3
83,1,7,4
84,1,7,5
85,1,7,6
86,1,7,7
87,1,7,8
88,1,7,9
89,1,6,3
90,1,6,4
91,1,6,5
92,1,6,6
93,1,7,0
94,1,7,1
95,1,7,2
96,1,8,0
97,1,8,1
98,1,8,2
99,1,8,3
100,1,8,4
101,1,8,5
102,1,8,6
103,1,8,7
104,1,8,8
105,1,8,9
106,1,7,3
107,1,7,4
108,1,7,5
109,1,7,6
110,1,7,7
111,1,7,8
112,1,7,9
113,1,6,7
114,1,6,8
115,1,6,9
116,1,2,4
117,1,2,5
118,1,2,6
119,1,6,0
120,1,6,1
121,1,6,2
122,1,7,0
123,1,7,1
124,1,7,2
125,1,7,3
126,1,7,4
127,1,7,5
128,1,7,6
129,1,7,7
130,1,7,8
131,1,7,9
132,1,6,3
133,1,6,4
134,1,6,5
135,1,6,6
136,1,6,7
137,1,6,8
138,1,6,9
139,1,2,7
140,1,2,8
141,1,2,9
142,1,1,2
143,1,1,3
144,1,2,0
145,1,2,1
146,1,6,0
147,1,6,1
