"Date Time","p (mbar)","T (degC)","rh (%)","sh (g/kg)","Tpot (K)","Tdew (degC)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","wd (deg)","rain (mm)","SWDR (W/m**2)","SDUR (s)","TRAD (degC)","Rn (W/m**2)","ST002 (degC)","ST004 (degC)","ST008 (degC)","ST016 (degC)","ST032 (degC)","ST064 (degC)","ST128 (degC)","SM008 (%)","SM016 (%)","SM032 (%)","SM064 (%)","SM128 (%)"
01.07.2020 00:10:00,  993.35,   14.42,   83.40,    8.64,  288.12,   11.65,   16.45,   13.72,    2.73,   13.81, 1197.06,    1.19,  238.90,   0.000,    0.00,    0.00,   11.94,  -38.32,   17.81,   18.74,   19.42,   19.71,   18.95,   17.27,   14.31,   24.69,   24.15,   28.35,   27.55,   32.62
01.07.2020 00:20:00,  993.29,   14.86,   80.30,    8.55,  288.57,   11.50,   16.92,   13.59,    3.33,   13.68, 1195.21,    1.44,  249.20,   0.000,    0.00,    0.00,   12.12,  -48.17,   17.77,   18.68,   19.36,   19.68,   18.95,   17.27,   14.31,   24.69,   24.14,   28.35,   27.55,   32.62
01.07.2020 00:30:00,  993.24,   15.17,   79.05,    8.59,  288.88,   11.57,   17.27,   13.65,    3.62,   13.74, 1193.85,    1.07,  221.90,   0.000,    0.00,    0.00,   12.03,  -48.78,   17.74,   18.63,   19.31,   19.65,   18.95,   17.27,   14.31,   24.69,   24.14,   28.35,   27.54,   32.62
01.07.2020 00:40:00,  993.18,   14.67,   82.20,    8.65,  288.38,   11.67,   16.72,   13.74,    2.98,   13.84, 1195.80,    0.85,  169.50,   0.000,    0.00,    0.00,   11.51,  -52.70,   17.71,   18.58,   19.27,   19.63,   18.95,   17.27,   14.31,   24.69,   24.14,   28.35,   27.54,   32.62
01.07.2020 00:50:00,  993.16,   14.28,   84.50,    8.67,  287.99,   11.71,   16.30,   13.78,    2.53,   13.87, 1197.39,    1.09,  205.30,   0.000,    0.00,    0.00,   11.19,  -52.40,   17.65,   18.53,   19.22,   19.60,   18.95,   17.27,   14.31,   24.69,   24.13,   28.35,   27.54,   32.61
01.07.2020 01:00:00,  993.07,   14.32,   83.40,    8.58,  288.04,   11.55,   16.34,   13.63,    2.71,   13.73, 1197.17,    1.35,  228.20,   0.000,    0.00,    0.00,   11.46,  -54.08,   17.58,   18.48,   19.17,   19.57,   18.95,   17.27,   14.31,   24.68,   24.13,   28.35,   27.54,   32.61
01.07.2020 01:10:00,  993.00,   14.44,   82.60,    8.57,  288.17,   11.52,   16.47,   13.61,    2.87,   13.70, 1196.60,    1.25,  202.70,   0.000,    0.00,    0.00,   11.45,  -55.30,   17.52,   18.43,   19.13,   19.54,   18.95,   17.27,   14.31,   24.68,   24.13,   28.35,   27.54,   32.61
01.07.2020 01:20:00,  992.99,   14.68,   80.80,    8.51,  288.41,   11.42,   16.73,   13.52,    3.21,   13.61, 1195.64,    1.63,  226.40,   0.000,    0.00,    0.00,   11.92,  -53.10,   17.46,   18.38,   19.08,   19.52,   18.94,   17.27,   14.31,   24.68,   24.13,   28.35,   27.54,   32.61
01.07.2020 01:30:00,  992.98,   14.57,   81.60,    8.53,  288.30,   11.46,   16.61,   13.55,    3.06,   13.65, 1196.06,    1.52,  264.50,   0.000,    0.00,    0.00,   12.03,  -42.82,   17.42,   18.33,   19.04,   19.49,   18.94,   17.27,   14.31,   24.68,   24.12,   28.35,   27.54,   32.61
01.07.2020 01:40:00,  992.97,   14.69,   81.30,    8.57,  288.42,   11.53,   16.74,   13.61,    3.13,   13.71, 1195.52,    1.35,  256.00,   0.000,    0.00,    0.00,   12.29,  -42.18,   17.38,   18.28,   19.00,   19.46,   18.94,   17.27,   14.31,   24.68,   24.12,   28.35,   27.54,   32.61
